fecha,AQI_SO2,AQI_NO2,AQI_PM10,AQI_CO,AQI_O3,AQI
2013-8-16,4,33,99,33,101,101
2013-8-17,6,24,57,17,65,65
2013-8-18,3,20,33,9,127,127
2013-8-19,3,31,47,9,127,127
2013-8-2,4,30,60,12,219,219
2013-8-20,8,34,96,20,172,172
2013-8-21,5,28,67,14,142,142
2013-8-22,3,52,98,16,29,98
2013-8-23,4,35,66,15,89,89
2013-8-24,4,37,63,11,120,120
2013-8-25,4,34,68,10,223,223
2013-8-26,7,32,76,23,208,208
2013-8-27,6,33,67,20,34,67
2013-8-28,3,28,42,33,26,42
2013-8-29,2,13,25,4,31,31
2013-8-3,2,27,48,5,159,159
2013-8-30,1,16,23,6,35,35
2013-8-31,3,22,44,6,66,66
2013-8-4,2,19,61,9,87,87
2013-8-5,2,25,44,7,269,269
2013-8-6,3,28,111,13,217,217
2013-8-7,3,22,23,7,35,35
2013-8-8,4,31,54,8,207,207
2013-8-9,5,26,59,7,232,232
2013-9-1,6,25,68,14,165,165
2013-9-10,6,28,65,13,38,65
2013-9-11,9,32,76,14,152,152
2013-9-12,14,57,122,23,100,122
2013-9-13,2,33,74,19,29,74
2013-9-14,3,26,54,16,41,54
2013-9-15,6,28,55,8,39,55
2013-9-16,10,33,75,14,43,75
2013-9-17,9,38,83,26,0,83
2013-9-18,10,31,74,36,31,74
2013-9-19,10,28,75,23,76,76
2013-9-2,6,26,61,15,161,161
2013-9-20,3,27,60,17,39,60
2013-9-21,5,27,61,12,140,140
2013-9-22,6,44,88,30,12,88
2013-9-23,5,20,53,33,17,53
2013-9-24,4,20,23,8,31,31
2013-9-25,3,25,39,7,37,39
2013-9-26,9,37,70,17,65,70
2013-9-27,19,52,128,23,204,204
2013-9-28,12,41,152,19,115,152
2013-9-29,10,49,139,19,29,139
2013-9-3,6,28,89,17,193,193
2013-9-30,16,46,105,21,30,105
2013-9-4,3,26,56,12,40,56
2013-9-5,3,19,23,13,47,47
2013-9-6,8,27,57,23,106,106
2013-9-7,6,32,67,25,87,87
2013-9-8,11,33,82,30,50,82
2013-9-9,6,27,63,17,89,89
2014-1-1,15,35,109,31,29,109
2014-1-10,32,38,67,25,9,67
2014-1-11,42,50,100,58,2,100
2014-1-12,13,18,38,12,28,38
2014-1-13,40,41,78,33,8,78
2014-1-14,45,40,74,45,12,74
2014-1-15,48,49,115,56,10,115
2014-1-16,70,69,261,76,9,261
2014-1-17,35,33,91,46,29,91
2014-1-18,25,35,66,29,19,66
2014-1-19,42,36,126,40,28,126
2014-1-2,49,47,119,49,2,119
2014-1-20,5,4,37,5,26,37
2014-1-21,21,24,59,21,21,59
2014-1-22,44,47,95,39,8,95
2014-1-23,71,66,150,56,1,150
2014-1-24,49,46,105,56,9,105
2014-1-25,14,18,37,18,35,37
2014-1-26,24,19,59,22,27,59
2014-1-27,36,31,81,27,28,81
2014-1-28,13,21,58,17,32,58
2014-1-29,43,40,92,37,5,92
2014-1-3,18,24,80,47,30,80
2014-1-30,22,21,63,34,33,63
2014-1-31,37,25,104,19,21,104
2014-1-4,30,39,102,35,1,102
2014-1-5,23,35,81,37,25,81
2014-1-6,33,34,89,38,5,89
2014-1-7,24,31,73,35,20,73
2014-1-8,9,10,15,10,23,23
2014-1-9,13,20,40,15,27,40
2014-10-1,4,32,75,13,5,75
2014-10-10,14,50,184,21,93,184
2014-10-13,3,25,18,8,24,25
2014-10-14,4,35,69,10,34,69
2014-10-15,3,27,77,10,30,77
2014-10-16,6,31,83,10,38,83
2014-10-17,8,68,127,37,26,127
2014-10-18,11,87,165,45,50,165
2014-10-19,8,83,202,42,43,202
2014-10-2,4,28,54,16,21,54
2014-10-20,4,45,129,21,35,129
2014-10-21,12,36,47,25,12,47
2014-10-22,8,49,114,22,2,114
2014-10-23,8,57,126,28,14,126
2014-10-24,7,65,168,34,29,168
2014-10-25,4,61,192,37,82,192
2014-10-26,2,26,65,30,29,65
2014-10-27,4,30,47,14,23,47
2014-10-28,7,39,82,16,24,82
2014-10-29,7,58,113,29,12,113
2014-10-3,4,33,79,30,8,79
2014-10-30,10,61,122,26,26,122
2014-10-31,7,57,105,30,10,105
2014-10-4,1,24,65,28,32,65
2014-10-5,1,23,31,11,34,34
2014-10-6,2,29,51,8,40,51
2014-10-7,6,52,117,21,36,117
2014-10-8,5,67,167,31,27,167
2014-10-9,4,56,194,26,43,194
2014-11-1,4,30,56,33,26,56
2014-11-10,4,43,64,19,19,64
2014-11-11,4,18,58,24,28,58
2014-11-12,3,5,34,5,32,34
2014-11-13,3,28,39,16,26,39
2014-11-14,8,34,55,16,22,55
2014-11-15,23,59,111,39,1,111
2014-11-16,12,37,74,41,24,74
2014-11-17,7,24,32,13,28,32
2014-11-18,14,45,73,25,6,73
2014-11-19,27,85,183,58,1,183
2014-11-2,3,14,17,5,28,28
2014-11-20,19,87,257,63,1,257
2014-11-21,11,61,144,52,23,144
2014-11-22,8,34,55,26,19,55
2014-11-23,12,55,113,32,1,113
2014-11-24,6,43,79,47,17,79
2014-11-25,17,53,123,37,13,123
2014-11-26,22,76,179,51,1,179
2014-11-27,5,33,79,54,19,79
2014-11-28,12,45,100,28,14,100
2014-11-29,13,56,189,47,1,189
2014-11-3,2,30,42,18,36,42
2014-11-30,7,23,142,35,26,142
2014-11-4,10,46,101,30,22,101
2014-11-5,6,26,62,30,31,62
2014-11-6,2,13,19,10,30,30
2014-11-7,7,30,57,17,13,57
2014-11-8,7,36,64,23,31,64
2014-11-9,3,36,56,18,33,56
2014-12-1,5,9,62,7,23,62
2014-12-10,19,33,137,57,30,137
2014-12-11,9,18,37,12,27,37
2014-12-12,5,9,39,7,25,39
2014-12-13,13,27,82,22,19,82
2014-12-14,29,43,92,43,9,92
2014-12-15,17,27,98,57,27,98
2014-12-16,3,9,29,4,24,29
2014-12-17,14,20,58,17,25,58
2014-12-2,10,28,49,22,15,49
2014-12-3,7,14,55,36,30,55
2014-12-31,6,10,45,5,24,45
2014-12-4,4,9,26,6,29,29
2014-12-5,11,24,45,24,28,45
2014-12-6,20,38,68,43,17,68
2014-12-7,17,28,59,30,24,59
2014-12-8,17,35,68,31,16,68
2014-12-9,38,67,185,66,1,185
2014-2-1,31,30,87,22,3,87
2014-2-10,10,17,18,11,28,28
2014-2-11,35,37,72,26,16,72
2014-2-12,28,39,74,45,15,74
2014-2-13,44,43,111,42,4,111
2014-2-14,45,52,159,44,10,159
2014-2-15,58,60,269,59,9,269
2014-2-16,48,45,156,56,32,156
2014-2-17,37,33,65,29,28,65
2014-2-18,18,29,61,20,25,61
2014-2-19,20,27,60,23,34,60
2014-2-2,9,13,67,29,35,67
2014-2-20,22,41,138,28,9,138
2014-2-21,42,50,158,34,11,158
2014-2-22,59,53,175,45,9,175
2014-2-23,70,43,139,47,6,139
2014-2-24,74,59,174,50,10,174
2014-2-25,45,63,256,70,6,256
2014-2-26,51,51,162,56,16,162
2014-2-27,6,12,10,13,37,37
2014-2-28,18,37,74,26,25,74
2014-2-3,3,4,28,4,35,35
2014-2-4,10,11,34,11,32,34
2014-2-5,31,23,72,31,22,72
2014-2-6,38,32,82,35,18,82
2014-2-7,18,27,53,16,16,53
2014-2-8,12,17,39,23,32,39
2014-2-9,9,8,9,6,32,32
2014-3-1,15,19,47,13,39,47
2014-3-10,29,38,74,27,18,74
2014-3-11,47,44,121,40,45,121
2014-3-12,5,11,19,13,41,41
2014-3-13,8,21,66,11,37,66
2014-3-14,7,16,67,8,40,67
2014-3-15,26,50,123,24,32,123
2014-3-16,42,36,129,37,50,129
2014-3-17,15,28,151,26,38,151
2014-3-18,8,22,91,11,47,91
2014-3-19,9,27,80,16,37,80
2014-3-2,38,46,106,33,19,106
2014-3-20,3,12,28,6,43,43
2014-3-21,7,26,63,15,47,63
2014-3-22,10,34,98,19,49,98
2014-3-23,23,44,116,22,125,125
2014-3-24,30,59,157,28,89,157
2014-3-25,25,58,150,25,159,159
2014-3-26,28,64,196,29,163,196
2014-3-27,22,55,174,58,5,174
2014-3-28,14,34,105,28,48,105
2014-3-29,5,19,56,30,53,56
2014-3-3,61,49,150,64,1,150
2014-3-30,6,35,70,9,50,70
2014-3-31,19,45,120,34,53,120
2014-3-4,16,20,58,47,37,58
2014-3-5,8,23,33,11,34,34
2014-3-6,7,15,24,9,39,39
2014-3-7,14,29,62,17,34,62
2014-3-8,40,49,110,31,20,110
2014-3-9,24,38,82,22,38,82
2014-4-1,11,38,83,14,89,89
2014-4-10,18,29,253,20,32,253
2014-4-11,12,36,81,17,45,81
2014-4-12,16,44,99,19,85,99
2014-4-13,16,44,131,16,189,189
2014-4-14,20,45,157,24,196,196
2014-4-15,10,30,96,13,52,96
2014-4-16,8,41,86,12,34,86
2014-4-17,14,41,103,15,53,103
2014-4-18,10,37,101,22,92,101
2014-4-19,9,42,79,13,38,79
2014-4-2,15,34,106,15,135,135
2014-4-20,5,36,74,12,58,74
2014-4-21,5,35,82,9,50,82
2014-4-22,6,37,95,8,125,125
2014-4-23,15,24,120,20,139,139
2014-4-24,11,24,96,11,127,127
2014-4-25,11,47,131,17,195,195
2014-4-26,1,13,71,4,42,71
2014-4-29,13,30,98,11,177,177
2014-4-3,4,22,73,7,48,73
2014-4-30,12,39,112,12,190,190
2014-4-4,5,23,95,12,48,95
2014-4-5,4,20,74,6,46,74
2014-4-6,7,33,113,10,57,113
2014-4-7,12,42,126,13,158,158
2014-4-8,23,49,153,21,185,185
2014-4-9,12,31,150,20,52,150
2014-5-1,11,27,122,10,189,189
2014-5-10,17,28,72,15,48,72
2014-5-11,2,16,26,13,50,50
2014-5-12,4,27,65,11,115,115
2014-5-13,6,30,88,12,79,88
2014-5-14,3,16,62,5,43,62
2014-5-15,5,35,138,11,68,138
2014-5-16,6,30,99,13,98,99
2014-5-17,14,36,99,16,203,203
2014-5-18,15,32,130,11,222,222
2014-5-19,9,29,114,17,217,217
2014-5-2,1,11,53,7,48,53
2014-5-20,6,25,107,23,158,158
2014-5-21,14,32,121,19,230,230
2014-5-22,10,38,147,24,227,227
2014-5-23,11,28,107,10,206,206
2014-5-24,4,26,84,13,43,84
2014-5-25,1,15,92,13,48,92
2014-5-26,2,33,66,9,122,122
2014-5-27,2,25,80,7,60,80
2014-5-28,5,37,34,9,186,186
2014-5-29,7,49,51,15,210,210
2014-5-3,4,23,119,9,53,119
2014-5-30,20,39,99,25,271,271
2014-5-31,27,38,147,33,238,238
2014-5-4,1,9,52,7,42,52
2014-5-5,2,22,53,9,50,53
2014-5-6,17,33,93,15,69,93
2014-5-7,8,27,88,27,53,88
2014-5-8,10,30,94,15,146,146
2014-5-9,19,29,83,24,84,84
2014-6-1,2,16,54,10,162,162
2014-6-10,4,28,61,17,137,137
2014-6-11,2,20,42,18,92,92
2014-6-12,4,29,28,9,125,125
2014-6-13,4,29,53,14,200,200
2014-6-14,2,23,39,10,236,236
2014-6-15,6,36,80,22,233,233
2014-6-16,2,25,91,10,212,212
2014-6-17,1,22,65,18,171,171
2014-6-18,1,22,54,9,208,208
2014-6-19,2,31,86,24,115,115
2014-6-2,1,19,42,8,130,130
2014-6-20,1,16,41,16,115,115
2014-6-21,2,21,57,13,140,140
2014-6-22,1,21,30,7,147,147
2014-6-23,1,23,25,8,199,199
2014-6-24,3,34,55,10,212,212
2014-6-25,6,31,74,15,135,135
2014-6-26,4,21,85,16,232,232
2014-6-27,3,21,21,10,63,63
2014-6-28,5,29,23,16,90,90
2014-6-29,7,29,43,24,215,215
2014-6-3,4,30,49,10,194,194
2014-6-30,9,33,62,18,255,255
2014-6-4,5,36,52,11,198,198
2014-6-5,6,30,57,12,227,227
2014-6-6,5,27,52,27,74,74
2014-6-7,1,17,12,8,48,48
2014-6-8,4,33,28,16,137,137
2014-6-9,3,25,29,9,165,165
2014-7-1,8,28,78,15,214,214
2014-7-10,4,24,29,8,221,221
2014-7-11,2,26,29,7,101,101
2014-7-12,2,20,15,7,98,98
2014-7-13,2,28,19,8,92,92
2014-7-14,2,25,26,7,214,214
2014-7-15,2,19,47,6,199,199
2014-7-16,1,29,79,16,207,207
2014-7-17,1,28,90,28,90,90
2014-7-18,2,23,89,30,221,221
2014-7-19,1,22,57,6,151,151
2014-7-2,1,21,55,13,76,76
2014-7-20,1,16,55,9,173,173
2014-7-21,3,14,24,6,63,63
2014-7-22,3,23,13,9,26,26
2014-7-23,3,40,27,9,101,101
2014-7-24,2,42,59,17,79,79
2014-7-25,3,27,60,21,194,194
2014-7-26,4,25,74,13,234,234
2014-7-27,7,22,78,15,226,226
2014-7-28,4,18,85,11,209,209
2014-7-29,2,15,82,8,177,177
2014-7-3,1,27,126,15,203,203
2014-7-30,1,17,89,20,106,106
2014-7-31,1,20,128,18,208,208
2014-7-4,1,27,122,18,225,225
2014-7-5,1,25,84,17,195,195
2014-7-6,1,23,128,17,200,200
2014-7-7,1,26,105,14,191,191
2014-7-8,2,26,72,16,53,72
2014-7-9,3,32,27,11,100,100
2014-8-1,1,22,103,22,206,206
2014-8-10,1,21,34,9,189,189
2014-8-11,2,23,22,8,89,89
2014-8-12,2,27,25,8,204,204
2014-8-13,1,23,26,7,47,47
2014-8-14,2,26,29,7,207,207
2014-8-15,2,31,41,9,217,217
2014-8-16,2,34,53,12,223,223
2014-8-17,3,20,58,13,180,180
2014-8-18,2,25,70,11,205,205
2014-8-19,2,26,88,13,208,208
2014-8-2,1,26,83,10,233,233
2014-8-20,4,26,99,13,220,220
2014-8-21,2,33,109,16,231,231
2014-8-22,1,40,65,14,37,65
2014-8-23,2,38,99,14,222,222
2014-8-24,3,18,39,7,49,49
2014-8-25,2,25,40,12,50,50
2014-8-26,3,47,75,16,120,120
2014-8-27,4,45,89,11,170,170
2014-8-28,2,40,99,14,82,99
2014-8-29,1,23,68,13,149,149
2014-8-3,1,24,82,11,212,212
2014-8-30,1,40,101,24,50,101
2014-8-31,1,19,59,14,120,120
2014-8-4,1,26,36,9,25,36
2014-8-5,2,22,24,6,165,165
2014-8-6,2,30,34,8,77,77
2014-8-7,4,31,62,17,211,211
2014-8-8,3,27,57,15,210,210
2014-8-9,4,25,66,15,204,204
2014-9-1,1,34,77,29,39,77
2014-9-10,5,42,94,15,157,157
2014-9-11,4,43,99,20,74,99
2014-9-12,2,36,66,13,41,66
2014-9-13,5,32,81,16,129,129
2014-9-14,2,30,68,8,35,68
2014-9-15,3,21,50,8,48,50
2014-9-16,3,42,79,9,13,79
2014-9-17,2,34,65,8,26,65
2014-9-18,2,35,68,7,100,100
2014-9-19,4,42,95,15,74,95
2014-9-2,2,20,24,16,34,34
2014-9-20,3,36,96,17,154,154
2014-9-21,6,33,85,23,74,85
2014-9-22,3,39,84,34,14,84
2014-9-23,1,27,46,20,15,46
2014-9-24,2,21,36,17,37,37
2014-9-25,3,37,87,18,33,87
2014-9-26,5,36,90,23,42,90
2014-9-27,2,27,56,15,40,56
2014-9-28,5,44,83,23,31,83
2014-9-29,2,27,67,15,31,67
2014-9-3,2,31,21,10,9,31
2014-9-30,4,22,54,8,19,54
2014-9-4,4,32,76,10,149,149
2014-9-5,3,39,103,16,196,196
2014-9-6,2,27,102,23,191,191
2014-9-7,2,35,120,18,146,146
2014-9-8,2,14,33,7,47,47
2014-9-9,3,33,70,12,166,166
2015-1-1,12,25,54,23,24,54
2015-1-10,31,52,106,46,29,106
2015-1-11,8,21,43,15,21,43
2015-1-12,24,42,93,42,20,93
2015-1-13,36,50,122,45,9,122
2015-1-14,37,58,137,48,2,137
2015-1-15,23,66,187,75,2,187
2015-1-16,7,18,80,70,31,80
2015-1-17,16,29,57,35,20,57
2015-1-18,22,26,75,31,35,75
2015-1-19,15,31,57,23,26,57
2015-1-2,19,35,65,27,19,65
2015-1-20,28,40,77,29,16,77
2015-1-21,11,16,23,19,31,31
2015-1-22,24,43,87,44,21,87
2015-1-23,37,63,132,46,5,132
2015-1-24,19,37,72,48,15,72
2015-1-25,10,27,78,22,15,78
2015-1-26,6,17,67,42,32,67
2015-1-27,9,12,16,16,29,29
2015-1-28,9,24,29,20,23,29
2015-1-29,12,19,56,22,32,56
2015-1-3,42,60,121,47,3,121
2015-1-30,9,11,25,8,40,40
2015-1-31,11,22,42,20,30,42
2015-1-4,45,66,134,73,10,134
2015-1-5,34,34,104,61,29,104
2015-1-6,13,19,51,18,23,51
2015-1-7,20,33,61,27,14,61
2015-1-8,29,51,109,61,1,109
2015-1-9,24,34,72,48,30,72
2015-10-1,2,16,25,9,38,38
2015-10-10,1,6,14,4,34,34
2015-10-11,1,10,19,7,45,45
2015-10-12,2,29,32,9,47,47
2015-10-13,4,47,61,22,60,61
2015-10-14,10,66,97,42,65,97
2015-10-15,6,66,95,30,190,190
2015-10-16,9,80,136,56,216,216
2015-10-17,10,88,180,48,140,180
2015-10-18,5,34,66,32,31,66
2015-10-19,4,35,75,23,39,75
2015-10-2,1,32,57,13,89,89
2015-10-20,6,43,77,24,15,77
2015-10-21,2,26,46,21,17,46
2015-10-22,1,31,31,21,20,31
2015-10-23,1,38,52,18,37,52
2015-10-24,2,34,59,21,36,59
2015-10-25,2,38,54,16,18,54
2015-10-26,1,18,48,9,31,48
2015-10-27,2,23,38,24,34,38
2015-10-28,3,16,12,6,38,38
2015-10-29,2,13,16,7,36,36
2015-10-3,2,32,58,13,66,66
2015-10-30,3,31,49,16,30,49
2015-10-31,3,35,58,18,34,58
2015-10-4,5,54,105,24,202,202
2015-10-5,4,58,134,42,219,219
2015-10-6,6,68,181,42,233,233
2015-10-7,5,43,168,34,152,168
2015-10-8,1,9,20,5,37,37
2015-10-9,1,15,46,15,40,46
2015-11-1,5,49,76,19,29,76
2015-11-10,2,36,94,26,5,94
2015-11-11,3,35,83,30,13,83
2015-11-12,3,36,107,42,4,107
2015-11-13,8,42,138,49,3,138
2015-11-14,9,49,164,54,11,164
2015-11-15,8,45,131,69,36,131
2015-11-16,7,32,53,21,15,53
2015-11-17,5,30,61,37,16,61
2015-11-18,6,30,62,18,8,62
2015-11-19,3,27,64,28,2,64
2015-11-2,5,53,86,34,32,86
2015-11-20,7,27,56,37,3,56
2015-11-21,4,27,38,39,3,39
2015-11-22,3,27,47,20,21,47
2015-11-23,7,19,28,14,28,28
2015-11-24,4,27,27,18,26,27
2015-11-25,8,25,53,22,30,53
2015-11-26,8,20,36,22,32,36
2015-11-27,11,62,125,49,10,125
2015-11-28,10,68,163,66,14,163
2015-11-29,8,71,152,87,20,152
2015-11-3,9,60,117,37,68,117
2015-11-30,3,64,136,89,6,136
2015-11-4,8,77,143,32,8,143
2015-11-5,7,36,81,23,19,81
2015-11-6,3,18,19,12,26,26
2015-11-7,2,16,15,8,27,27
2015-11-8,3,29,51,17,26,51
2015-11-9,2,38,95,36,7,95
2015-12-1,17,86,302,93,8,302
2015-12-10,11,36,81,58,39,81
2015-12-11,9,38,47,25,22,47
